eval_idx,round,run,llm,picked_smiles,gp_util_mu,gp_sigma,acq_value,true_logs_esol,best_so_far,n_duels_cum
1,1,4,gemini,CC(C)(C)C(=O)NC=NC(N)=NC(N)=O,0.0000,5.4796,2.7398,-0.8254,0.2080,43
2,1,4,gemini,CC(C)NC(=O)NC(N)=O,0.0000,5.4796,2.7398,-0.5308,0.2080,43
3,1,4,gemini,CC(C)C(C)C,0.0000,5.4796,2.7398,-1.7563,0.2080,43
4,1,4,gemini,Cc1ccc(O)c(O)c1,0.0000,5.4796,2.7398,-1.9889,0.2080,43
5,1,4,gemini,Cc1ccc([N+](=O)[O-])cc1C(=O)O,0.0000,5.4796,2.7398,-2.1815,0.2080,43
6,2,4,gemini,CC(C)C(N)=O,2.0041,5.2104,4.6092,-0.3946,0.2080,62
7,2,4,gemini,NC(N)=O,0.0240,5.4043,2.7261,0.4027,0.4027,62
8,2,4,gemini,C=Cc1cc(Cl)ccc1NC(=O)NC(=O)c1c(N)ccc(O)c1O,0.0004,5.4043,2.7026,-4.0192,0.4027,62
9,2,4,gemini,Nc1ccc(N)c(C(=O)NC(=O)Nc2ccc(Cl)cc2)c1,0.0000,5.4043,2.7022,-3.5740,0.4027,62
10,2,4,gemini,Nc1ccc(Cl)c(Cl)c1,0.0000,5.4043,2.7022,-2.9605,0.4027,62
11,3,4,gemini,NCC(N)=O,15.8686,1.5324,16.6348,0.7555,0.7555,80
12,3,4,gemini,NC(=O)NC(N)=O,7.4108,4.9486,9.8851,0.3189,0.7555,80
13,3,4,gemini,NC(=O)N=C(N)C(N)=O,6.5223,5.0607,9.0526,0.6715,0.7555,80
14,3,4,gemini,NC(=O)O,4.1716,5.7506,7.0469,0.0190,0.7555,80
15,3,4,gemini,Nc1ccc(N)nc1,2.9263,5.7456,5.7991,-1.2266,0.7555,80
