eval_idx,round,run,llm,picked_smiles,gp_util_mu,gp_sigma,acq_value,true_logs_esol,best_so_far,n_duels_cum
1,1,1,gemini,CC(C)C(N)=O,0.0051,5.4796,2.7450,-0.3946,0.2080,42
2,1,1,gemini,CCN(CC)C(=O)Nc1ccc(N)cc1,0.0000,5.4796,2.7398,-2.5729,0.2080,42
3,1,1,gemini,NCC(N)=O,0.0000,5.4796,2.7398,0.7555,0.7555,42
4,1,1,gemini,CC(C)C(C)C,0.0000,5.4796,2.7398,-1.7563,0.7555,42
5,1,1,gemini,CC(C)(C)C,0.0000,5.4796,2.7398,-1.5803,0.7555,42
6,2,1,gemini,NC(N)=O,0.0013,6.8530,3.4278,0.4027,0.7555,61
7,2,1,gemini,CC(C)C(C)(C)C,0.0000,6.8530,3.4265,-2.1550,0.7555,61
8,2,1,gemini,Cc1ccc(Cl)cc1Cl,0.0000,6.8530,3.4265,-3.4119,0.7555,61
9,2,1,gemini,Cc1ccc(O)c(O)c1,0.0000,6.8530,3.4265,-1.9889,0.7555,61
10,2,1,gemini,O=C(O)c1ccccc1C(=O)O,0.0000,6.8530,3.4265,-1.7903,0.7555,61
11,3,1,gemini,CC(C)(C)C(N)=O,0.2657,7.3065,3.9189,-0.7933,0.7555,80
12,3,1,gemini,CC(C)(C)c1ccc(O)c(O)c1,0.0000,7.3391,3.6696,-2.7496,0.7555,80
13,3,1,gemini,O=C(O)c1ccccc1-c1ccccc1,0.0000,7.3391,3.6695,-3.4516,0.7555,80
14,3,1,gemini,NC(=O)N=C(N)C(N)=O,0.0000,7.3391,3.6695,0.6715,0.7555,80
15,3,1,gemini,NC=NC(N)=NC(N)=O,0.0000,7.3391,3.6695,0.3884,0.7555,80
