eval_idx,round,run,llm,acq,picked_smiles,gp_mu,gp_sigma,acq_value,surrogate_label,true_logs_esol,best_so_far
1,1,4,gemini,ei,CC=C1C(Cl)=C(Cl)C(Cl)=C1Cl,-1.4044,1.1951,0.0490,-5.1050,-3.9901,0.2080
2,1,4,gemini,ei,O=C1CC=C2C(Cl)=CC(Cl)=C2N1,-1.3811,1.1557,0.0448,-3.4500,-2.3649,0.2080
3,1,4,gemini,ei,O=C(O)c1ccc(Cl)cc1Cl,-1.4767,1.1670,0.0388,-3.2100,-3.0576,0.2080
4,1,4,gemini,ei,O=C(O)c1ccc([N+](=O)[O-])cc1[N+](=O)[O-],-1.6599,1.2209,0.0334,-2.1500,-2.0099,0.2080
5,1,4,gemini,ei,Nc1ccc(Cl)cc1,-1.0329,0.8898,0.0330,-2.8100,-2.3969,0.2080
6,2,4,gemini,ei,NC(N)=O,-0.1479,0.8066,0.1747,0.8500,0.4027,0.4027
7,2,4,gemini,ei,CCN(CC)C(=O)Nc1ncc2cc1C(=O)NC(=O)NC(=O)N2,-1.5328,1.0596,0.0222,-3.2000,-2.4133,0.4027
8,2,4,gemini,ei,CC1CC(=O)NC(=O)NC(=O)C1C,-1.7801,1.1001,0.0154,-1.4500,-0.9913,0.4027
9,2,4,gemini,ei,O=CCCCCCCCCCCCCCCCCCCCCCCCCCCCCC1CCCCC1,-2.7279,1.2443,0.0038,-14.1000,-9.0502,0.4027
10,2,4,gemini,ei,CC(=O)NC(=O)C(C)C,-1.8931,0.9118,0.0033,-0.6500,-0.7670,0.4027
11,3,4,gemini,ei,NC(=O)NC(N)=O,0.6444,1.0227,0.5402,0.1000,0.3189,0.4027
12,3,4,gemini,ei,NC(=O)C(N)C(=O)O,0.1737,1.3164,0.4186,-0.1500,0.8932,0.8932
13,3,4,gemini,ei,NCC(N)=O,0.7766,0.3562,0.4008,0.4000,0.7555,0.8932
14,3,4,gemini,ei,NC(=O)C(N)C(=O)NC(=O)NC=O,-0.3448,1.6086,0.3361,-1.5000,1.2194,1.2194
15,3,4,gemini,ei,Nc1nc(N)nc(N)n1,-1.1722,1.9659,0.2359,-1.6200,-0.2448,1.2194
