eval_idx,round,run,llm,acq,picked_smiles,gp_mu,gp_sigma,acq_value,surrogate_label,true_logs_esol,best_so_far
1,1,1,gemini,ei,NCC(N)=O,-0.1981,0.8129,0.1609,0.9000,0.7555,0.7555
2,1,1,gemini,ei,Nc1cc(Cl)nc(Cl)n1,-1.1183,1.1661,0.0743,-2.6000,-2.2104,0.7555
3,1,1,gemini,ei,Nc1ccc(O)c(Cl)c1,-0.9779,1.0687,0.0719,-1.6000,-2.2490,0.7555
4,1,1,gemini,ei,O=C(O)c1cc(Cl)c(Cl)c(Cl)c1Cl,-1.5270,1.2232,0.0431,-4.6000,-4.2459,0.7555
5,1,1,gemini,ei,O=C(O)c1ccc(Cl)cc1Cl,-1.4767,1.1670,0.0388,-3.4000,-3.0576,0.7555
6,2,1,gemini,ei,NC(N)=O,0.9275,0.2131,0.1973,1.2500,0.4027,0.7555
7,2,1,gemini,ei,NC(=O)NC(N)=O,0.2651,0.7542,0.1171,0.8500,0.3189,0.7555
8,2,1,gemini,ei,NC(=O)C(N)C(=O)NC(=O)NC=O,-0.8321,1.2479,0.0603,1.1000,1.2194,1.2194
9,2,1,gemini,ei,CC(C(N)=O)C(=O)OC(=O)O,-1.5666,1.1243,0.0080,0.2500,-0.2842,1.2194
10,2,1,gemini,ei,NC(=O)NCCCCCCCCCCCCCCCCCCCCCCCCCCCCC1CCCCC1,-2.2138,1.3705,0.0074,-12.5000,-8.6564,1.2194
11,3,1,gemini,ei,Nc1ccc([N+](=O)[O-])cc1[N+](=O)[O-],-0.1939,2.1959,0.3448,-3.5000,-1.8686,1.2194
12,3,1,gemini,ei,CC(C(N)=O)C(=O)NC(=O)NC=O,0.9529,1.1389,0.3335,0.8000,0.4009,1.2194
13,3,1,gemini,ei,NC(=O)n1c(=O)[nH]c(=O)[nH]c1=O,0.6658,1.0113,0.1856,-1.2000,0.5174,1.2194
14,3,1,gemini,ei,Nc1ccc([N+](=O)[O-])cc1C(=O)O,-0.2912,1.7368,0.1843,-2.5000,-1.7302,1.2194
15,3,1,gemini,ei,CC(C)C(=O)NC(=O)NC(=O)NC=O,0.1971,1.2553,0.1471,-0.3000,-0.5359,1.2194
