eval_idx,round,run,llm,acq,picked_smiles,gp_mu,gp_sigma,acq_value,surrogate_label,true_logs_esol,best_so_far
1,1,1,gemini,ucb,NCC(N)=O,-0.1981,0.8129,1.4278,1.2500,0.7555,0.7555
2,1,1,gemini,ucb,Nc1cc(Cl)nc(Cl)n1,-1.1183,1.1661,1.2139,-2.8500,-2.2104,0.7555
3,1,1,gemini,ucb,Nc1ccc(O)c(Cl)c1,-0.9779,1.0687,1.1594,-1.5000,-2.2490,0.7555
4,1,1,gemini,ucb,O=C(O)c1cc(Cl)c(Cl)c(Cl)c1Cl,-1.5270,1.2232,0.9194,-4.8500,-4.2459,0.7555
5,1,1,gemini,ucb,O=C(O)c1ccc(Cl)cc1Cl,-1.4767,1.1670,0.8573,-3.4500,-3.0576,0.7555
6,2,1,gemini,ucb,NC(=O)NC(N)=O,0.5882,0.7937,2.1756,1.1000,0.3189,0.7555
7,2,1,gemini,ucb,NC(=O)C(N)C(=O)NC(=O)NC=O,-0.6547,1.3134,1.9721,0.5000,1.2194,1.2194
8,2,1,gemini,ucb,NC(N)=O,1.2812,0.2242,1.7297,1.2500,0.4027,1.2194
9,2,1,gemini,ucb,Nc1ccc(N)cc1,-0.6601,0.7589,0.8577,-1.1500,-1.6016,1.2194
10,2,1,gemini,ucb,CC(C(N)=O)C(=O)OC(=O)O,-1.5105,1.1832,0.8560,-0.2500,-0.2842,1.2194
11,3,1,gemini,ucb,NC(=O)C(N)C(=O)O,0.7815,0.4905,1.7625,1.0500,0.8932,1.2194
12,3,1,gemini,ucb,NC(=O)n1c(=O)[nH]c(=O)[nH]c1=O,0.2111,0.6172,1.4456,-0.2000,0.5174,1.2194
13,3,1,gemini,ucb,CC(C(N)=O)C(=O)NC(=O)NC=O,-0.0491,0.7187,1.3883,0.1500,0.4009,1.2194
14,3,1,gemini,ucb,Nc1ccc([N+](=O)[O-])cc1[N+](=O)[O-],-1.3254,1.3435,1.3616,-2.1500,-1.8686,1.2194
15,3,1,gemini,ucb,CC(C)C(=O)NC(=O)NC(=O)NC=O,-0.2475,0.7796,1.3116,-0.4500,-0.5359,1.2194
