eval_idx,round,run,llm,acq,picked_smiles,gp_mu,gp_sigma,acq_value,surrogate_label,true_logs_esol,best_so_far
1,1,3,gemini,ei,NCC(N)=O,-0.1981,0.8129,0.1609,0.8520,0.7555,0.7555
2,1,3,gemini,ei,Nc1cc(Cl)nc(Cl)n1,-1.1183,1.1661,0.0743,-1.7450,-2.2104,0.7555
3,1,3,gemini,ei,Nc1ccc(O)c(Cl)c1,-0.9779,1.0687,0.0719,-1.5830,-2.2490,0.7555
4,1,3,gemini,ei,O=C(O)c1cc(Cl)c(Cl)c(Cl)c1Cl,-1.5270,1.2232,0.0431,-4.5120,-4.2459,0.7555
5,1,3,gemini,ei,O=C(O)c1ccc(Cl)cc1Cl,-1.4767,1.1670,0.0388,-3.2800,-3.0576,0.7555
6,2,3,gemini,ei,NC(N)=O,0.8677,0.2079,0.1509,1.1500,0.4027,0.7555
7,2,3,gemini,ei,NC(=O)NC(N)=O,0.1804,0.7360,0.0914,-0.7500,0.3189,0.7555
8,2,3,gemini,ei,NC(=O)C(N)C(=O)NC(=O)NC=O,-0.8805,1.2178,0.0505,-1.2500,1.2194,1.2194
9,2,3,gemini,ei,CC(C(N)=O)C(=O)OC(=O)O,-1.5718,1.0971,0.0067,-0.3000,-0.2842,1.2194
10,2,3,gemini,ei,NC(=O)NCCCCCCCCCCCCCCCCCCCCCCCCCCCCC1CCCCC1,-2.1833,1.3374,0.0066,-16.5000,-8.6564,1.2194
11,3,3,gemini,ei,Nc1ccc([N+](=O)[O-])cc1[N+](=O)[O-],-0.6664,2.6396,0.3680,,-1.8686,1.2194
12,3,3,gemini,ei,Nc1ccc(N)nc1,-0.1997,1.5891,0.1617,,-1.2266,1.2194
13,3,3,gemini,ei,Nc1ccc([N+](=O)[O-])cc1C(=O)O,-0.9593,2.0877,0.1600,,-1.7302,1.2194
14,3,3,gemini,ei,CC(=O)OC(C)(C)CC(C)(C)C(C)(C)C,-2.6377,3.0278,0.1457,,-3.3590,1.2194
15,3,3,gemini,ei,CC(C(N)=O)C(=O)NC(=O)NC=O,-0.1114,1.3690,0.1203,,0.4009,1.2194
