eval_idx,round,run,llm,acq,picked_smiles,gp_mu,gp_sigma,acq_value,surrogate_label,true_logs_esol,best_so_far
1,1,3,gemini,ucb,NCC(N)=O,-0.1981,0.8129,1.4278,0.6500,0.7555,0.7555
2,1,3,gemini,ucb,Nc1cc(Cl)nc(Cl)n1,-1.1183,1.1661,1.2139,-2.6000,-2.2104,0.7555
3,1,3,gemini,ucb,Nc1ccc(O)c(Cl)c1,-0.9779,1.0687,1.1594,-1.7500,-2.2490,0.7555
4,1,3,gemini,ucb,O=C(O)c1cc(Cl)c(Cl)c(Cl)c1Cl,-1.5270,1.2232,0.9194,-4.8000,-4.2459,0.7555
5,1,3,gemini,ucb,O=C(O)c1ccc(Cl)cc1Cl,-1.4767,1.1670,0.8573,-3.4500,-3.0576,0.7555
6,2,3,gemini,ucb,NC(=O)NC(N)=O,0.0443,0.7542,1.5527,0.7000,0.3189,0.7555
7,2,3,gemini,ucb,NC(=O)C(N)C(=O)NC(=O)NC=O,-0.9615,1.2479,1.5343,0.8500,1.2194,1.2194
8,2,3,gemini,ucb,NC(N)=O,0.6765,0.2131,1.1026,1.2500,0.4027,1.2194
9,2,3,gemini,ucb,CC(C(N)=O)C(=O)OC(=O)O,-1.6241,1.1242,0.6244,-0.1500,-0.2842,1.2194
10,2,3,gemini,ucb,Nc1ccc(N)cc1,-0.8588,0.7210,0.5833,-1.2500,-1.6016,1.2194
11,3,3,gemini,ucb,CC(C)C(=O)NC(=O)NC(=O)NC=O,0.2123,0.7557,1.7237,0.1250,-0.5359,1.2194
12,3,3,gemini,ucb,NC(=O)n1c(=O)[nH]c(=O)[nH]c1=O,0.5160,0.5983,1.7126,-0.8500,0.5174,1.2194
13,3,3,gemini,ucb,CC(C(N)=O)C(=O)NC(=O)NC=O,0.2546,0.6967,1.6480,0.2500,0.4009,1.2194
14,3,3,gemini,ucb,NC(=O)C(N)C(=O)O,0.6309,0.4755,1.5818,-0.4500,0.8932,1.2194
15,3,3,gemini,ucb,Nc1ccc([N+](=O)[O-])cc1[N+](=O)[O-],-1.0566,1.3023,1.5479,-3.2500,-1.8686,1.2194
