iteration,run,llm,acq,picked_id,picked_smiles,picked_name,predicted_logs,confidence,sigma,acq_value,true_logs_esol,best_so_far,n_scored
1,2,chatgpt,ei,10,C=CCS(=O)(=O)[O-],sodium prop-2-ene-1-sulfonate,2.5000,7,0.7333,2.2922,-0.2811,0.2080,30
2,2,chatgpt,ei,26,CN=C(NC#N)NCCSCc1nc[nH]c1C,cimetidine,1.0000,8,0.5222,0.8067,-1.6686,0.2080,29
3,2,chatgpt,ei,5,CC(C)CC(NC(=O)C(C)NC(=O)CN)C(=O)NC(C(=O)O)C(C)C,2-[[2-[2-[(2-aminoacetyl)amino]propanoylamino]-4-methylpentanoyl]amino]-3-methylbutanoic acid,0.8500,8,0.5222,0.6696,-0.9022,0.2080,28
4,2,chatgpt,ei,5,CC(=O)NCCO,"acetamide, n-(2-hydroxyethyl)-",0.3500,9,0.3111,0.2078,0.2103,0.2103,27
5,2,chatgpt,ei,13,O=C(CS)OCC(O)CO,"1,3-dihydroxypropan-2-yl 2-sulfanylacetate 2,3-dihydroxypropyl 2-sulfanylacetate",-0.2000,7,0.7333,0.1320,0.1416,0.2103,26
6,2,sonnet-4.6,ei,11,CC[S+]([O-])CCSP(=O)(OC)OC,oxydemeton methyl,-1.0000,5,1.1556,0.0879,-2.0951,0.2103,25
7,2,sonnet-4.6,ei,24,NC(=O)c1ccccn1,2-pyridinecarboxamide,-0.5500,7,0.7333,0.0569,-1.1382,0.2103,24
8,2,sonnet-4.6,ei,10,O=C(NCCCCCCNC(=O)OCCO)OCCO,2-hydroxyethyl N-[6-(2-hydroxyethoxycarbonylamino)hexyl]carbamate,-0.9500,6,0.9444,0.0500,-0.9163,0.2103,23
9,2,chatgpt,ei,14,NS(=O)(=O)c1cccc(S(N)(=O)=O)c1,"1,3-benzenedisulfonamide",-0.6000,8,0.5222,0.0136,-0.8483,0.2103,22
10,2,chatgpt,ei,5,O=c1[nH]c(CN2CCCC2)c(Cl)c(=O)[nH]1,"5-chloro-6-(pyrrolidin-1-ylmethyl)-1H-pyrimidine-2,4-dione",-1.3500,7,0.7333,0.0044,-1.6247,0.2103,21
