idx,smiles,name,final_utility,final_std_err,true_logs_esol,evaluated
0,NC(=O)NCC(=O)O,n-(aminocarbonyl)glycine,3.7200,5.8318,0.3541,1
1,CCCC(=O)OCn1cnc2c1c(=O)n(C)c(=O)n2C,7-(butyryloxymethyl)theophylline;  7-(butanoyloxymethyl)theophylline,-0.5847,5.8676,-1.4795,0
2,CN(O)C(=O)C1CCCCCC1,N-Hydroxy-N-methylcycloheptanecarboxamide,1.2586,5.8217,-1.9725,1
3,c1ccc(CCc2ccccc2)cc1,bibenzyl,-2.7709,5.8991,-3.5936,0
4,COc1ccc(N/N=C2/C(=O)c3ccc(Nc4nc(Nc5ccc6c(c5)C=C(S(=O)(=O)[O-])/C(=N/Nc5ccc(OC)cc5S(=O)(=O)[O-])C6=O)nc(N5CCOCC5)n4)cc3C=C2S(=O)(=O)[O-])c(S(=O)(=O)[O-])c1,"tetrasodium 7,7'-[(6-morpholin-4-yl-1,3,5-triazine-2,4-diyl)diimino]bis{4-hydroxy-3-[(4-methoxy-2-sulfonatophenyl)diazenyl]naphthalene-2-sulfonate}",5.7143,5.8296,-7.0982,1
5,Clc1cccc(-c2c(Cl)cccc2Cl)c1,"2,3',6-trichlorobiphenyl",-4.5203,5.9404,-5.3105,1
6,CCCCN(CCCC)N=O,n-nitrosodibutylamine,-0.9393,5.8415,-1.9782,0
7,CCCCCCCCCCCCCCCCOC(=O)Oc1c(Cl)cc(C(=O)OCC)cc1Cl,"ethyl 3,5-dichloro-4-{[(hexadecyloxy)carbonyl]oxy}benzoate",-6.3609,5.9418,-7.6834,0
8,CNS(=O)(=O)c1cc(OC)c(N)cc1OC,"4-amino-2,5-dimethoxy-N-methylbenzenesulfonamide",2.2825,5.8238,-1.5028,1
9,O=[N+]([O-])c1ccc(-c2nc3ccc(F)cc3[nH]2)o1,6-fluoro-2-(5-nitrofuran-2-yl)-1H-benzimidazole,0.1987,5.8210,-3.6243,0
10,COC(=O)c1ccc(C(=O)OC)cc1,"1,4-dimethyl benzene-1,4-dicarboxylate",-2.6059,5.8595,-2.0228,0
11,CN(CCC#N)c1ccc(C=CC2=[N+](C)c3ccccc3C2(C)C)cc1,"2-[2-[4-[(2-cyanoethyl)methylamino]phenyl]vinyl]-1,3,3-trimethyl-3H-indolium dihydrogen phosphate",4.9833,5.8432,-4.9835,1
12,FC(F)=C(F)C(F)(F)F,hexafluoroprop-1-ene,-3.9470,5.9215,-2.4247,0
13,Cc1cc(C)c[n+]([O-])c1,"3,5-dimethylpyridine-n-oxide",2.8195,5.8389,-1.6871,1
14,CC(C)CCOC(=O)c1ccccc1O,"benzoic acid, 2-hydroxy-, 3-methylbutyl ester",-0.5223,5.8135,-2.7981,1
15,CCCOCC(O)COCCC,"2-propanol, 1,3-dipropoxy-",1.7758,5.8238,-1.1611,1
16,NS(=O)(=O)c1cc(S(=O)(=O)c2ccc(O)cc2)co1,4-(4-hydroxyphenyl)sulfonylfuran-2-sulfonamide,2.9857,5.8298,-2.2442,1
17,CC(=O)c1cccc2ccccc12,1-(naphthalen-1-yl)ethan-1-one,-1.9400,5.8413,-3.3153,0
18,CC(=O)c1ccc(O)c(C(=O)[O-])c1,"benzoic acid, 5-acetyl-2-hydroxy-",2.6738,5.8393,-1.1340,1
19,Clc1cc(Cl)c(-c2cc(Cl)cc(Cl)c2Cl)c(Cl)c1,"2,2',4,4',6,6'-PCB",-6.8488,5.9916,-7.0874,0
20,O=C1NC(=O)C2(CC2)C(=O)N1,"spiro-5,5-dimethylenebarbituric  acid",2.1684,5.8315,-0.2491,1
21,CCOP(=S)(OCC)Oc1nc(Cl)n(C(C)C)n1,isazofos,0.6972,5.8236,-3.5377,0
22,COC(=O)c1ccc(O)c(I)c1,"benzoic acid, 4-hydroxy-3-iodo-, methyl ester",-1.5896,5.8319,-2.9914,0
23,COC(/C=C\C(OC)OC)OC,"1,1,4,4-tetramethoxy-but-2-ene",0.4558,5.8174,-1.0282,0
24,OCC1(O)OCC(O)C(O)C1O,fructose,4.1433,5.8355,1.1375,1
25,CC/C=C/CCCCCCC,undec-3-ene,-2.8268,5.8593,-3.0519,0
26,O=[N+]([O-])c1ccc(Cl)c(Cl)c1,"1,2-dichloro-4-nitrobenzene",-2.6281,5.8598,-3.1961,1
27,O=C1C=Cc2ccccc2/C1=N/Nc1ccc([N+](=O)[O-])cc1Cl,1-[(E)-2-(2-chloro-4-nitrophenyl)diazen-1-yl]naphthalen-2-ol,-2.2558,5.8410,-4.3660,0
28,Cc1cccc(N=Nc2ccc(N(C)C)cc2)c1,4-dimethylamino-3'-methylazobenzene,-1.4265,5.8448,-4.4393,0
29,O=P(O)(O)OCC(O)CO,glycerophosphoric acid,5.8901,5.8386,0.3343,1
